VAL_PUTIN,HABITAT,MAN,AGE,IDEOL,INCOME
3,c. < 10k hab,1,49,2.0,2700.0
1,c. < 10k hab,0,56,3.0,5500.0
5,b. 10k-150k hab,1,56,5.0,1500.0
6,b. 10k-150k hab,1,69,4.0,3500.0
8,b. 10k-150k hab,1,18,3.0,1100.0
0,b. 10k-150k hab,0,28,5.0,1500.0
8,b. 10k-150k hab,1,34,2.0,2200.0
5,b. 10k-150k hab,1,64,2.0,2700.0
0,b. 10k-150k hab,1,72,5.0,
0,b. 10k-150k hab,0,36,3.0,1100.0
1,b. 10k-150k hab,1,76,4.0,1500.0
4,b. 10k-150k hab,0,73,6.0,1900.0
3,b. 10k-150k hab,0,64,5.0,2200.0
1,b. 10k-150k hab,1,70,4.0,2700.0
2,b. 10k-150k hab,0,50,0.0,2700.0
5,b. 10k-150k hab,0,55,2.0,4750.0
3,b. 10k-150k hab,1,69,3.0,2700.0
1,b. 10k-150k hab,0,66,3.0,2200.0
4,b. 10k-150k hab,0,50,3.0,1500.0
1,b. 10k-150k hab,0,35,2.0,1900.0
2,b. 10k-150k hab,1,72,3.0,2200.0
4,a. >150k hab,1,62,4.0,1900.0
7,a. >150k hab,1,26,3.0,1500.0
6,a. >150k hab,1,33,,
0,c. <10k hab,0,73,8.0,750.0
0,c. <10k hab,0,66,5.0,1900.0
4,c. <10k hab,1,59,5.0,1500.0
0,c. <10k hab,0,63,4.0,1100.0
4,c. <10k hab,1,44,0.0,1500.0
0,c. <10k hab,0,61,4.0,950.0
1,c. <10k hab,1,40,2.0,2700.0
3,c. <10k hab,1,63,5.0,1900.0
